title,address,totalScore,categories,location,Jarak_KampusC,Jarak_KampusB,Jarak_KampusA
BAKSO CAKSUM KHAS DJAKARTA,"PQM9+935, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",5.0,Restoran Bakso,"{'lat': -7.2666242, 'lng': 112.7677403}",1.9125415873035285,0.5329028370950474,1.0969284637393963
"Bakso Manyar Tirtoyoso ""Pink""","Jl. Manyar Tirtoyoso No.19-33, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60116, Indonesia",4.8,Restoran Bakso Restoran Cepat Saji,"{'lat': -7.2840184, 'lng': 112.7718544}",2.1386383824730326,1.4537979505963339,1.3291991722280256
"Governor ""Kedai Bakso""","Blok J Baru No.21, Jl. T. Arsitektur, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.4,Restoran Bakso,"{'lat': -7.2866651, 'lng': 112.795173}",2.2062819595783565,3.3735494092583296,3.7179214022725064
Bakso dan Mie Ayam Langgeng Jaya,"Jl. Raya Mulyosari No.149, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60113, Indonesia",4.0,Restoran Bakso,"{'lat': -7.2682443, 'lng': 112.7964988}",1.3005068500132728,3.0740472795667193,3.738905859631594
BAKSO BALUNGAN / SOTO AYAM,"Jl. Raya Kedung Baruk No.8, Kedung Baruk, Kec. Rungkut, Surabaya, Jawa Timur 60298, Indonesia",4.6,Restoran Bakso Restoran Soto Ayam,"{'lat': -7.3106801, 'lng': 112.775768}",4.664407694712452,4.445805853936628,4.142881254523667
PENYETAN OM ANDRE,"Jl. Wonorejo Timur No.104-100, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296, Indonesia",4.9,Restoran,"{'lat': -7.3083536, 'lng': 112.7980974}",4.541438114840287,5.236198714912613,5.290682112304117
Penyetan Cok Pakuwon City Mall,"East Coast Center, Jl. Kejawanputih Mutiara X, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.8,Restoran,"{'lat': -7.2762063, 'lng': 112.8058097}",2.427684665093855,4.118472577567414,4.678437573629953
Penyetan Jhon Mudah Barokah,"MQQM+VG2, Jl. Wonorejo Timur, Penjaringan Sari, Kec. Rungkut, Surabaya, Jawa Timur 60297, Indonesia",4.3,Restoran,"{'lat': -7.3103713, 'lng': 112.78376}",4.523902969632728,4.6473208215149775,4.480840656785465
Penyetan Cak Thofa,"Jl. Raya Mulyosari No.86, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.7,Restoran Masakan Ayam,"{'lat': -7.2636945, 'lng': 112.7960353}",1.4077419338737878,3.1208697161246928,3.8316006610674473
Penyetan nasi uduk cak lut,"Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.7,Restoran Betawi Restoran Nasi Uduk,"{'lat': -7.2836687, 'lng': 112.785528}",1.5553249074877866,2.30128284086344,2.6042314746107778
Depot Penyetan Cak Herry,"Jl. Menur Pumpungan III No.81, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.8,Restoran,"{'lat': -7.2887861, 'lng': 112.768027}",2.815445704099874,1.946236747293462,1.5630152689273071
"penyetan 'UPIK JAYA""","Jl. Gebang Lor No.98, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.6,Restoran Indonesia,"{'lat': -7.2803729, 'lng': 112.789418}",1.2914663098509136,2.4878917269341114,2.9204698721166644
Penyetan Mas Brooo spesial pedas,"Jl. Semolowaru No.2, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.4,Rumah Makan,"{'lat': -7.3002765, 'lng': 112.7728283}",3.6473671473696507,3.252534543564159,2.9447541671199917
Mr. Waras - Nasi Uduk Nganjuk & Penyetan,"Jl. Arief Rahman Hakim no 14 Wisata Kuliner, Deles, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,Pujasera,"{'lat': -7.2909547, 'lng': 112.7838836}",2.3655785076503286,2.746693510168782,2.8385956343479384
Penyetan Cak Kabul,"Gg. Makam No.14, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.8,Restoran Masakan Ayam Restoran Asia Rumah Makan Restoran Indonesia,"{'lat': -7.2904265, 'lng': 112.7837949}",2.307349643341997,2.6941782804031122,2.7955508437797416
Penyetan Sambel Uleg Dhe Sri,"Jl. Mulyorejo No.16-18, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.7,Restoran Indonesia,"{'lat': -7.2643371, 'lng': 112.7772378}",1.0253641898142811,1.2106433333005466,1.9673320880159746
Penyetan Bu Yanti,"Jl. Arief Rahman Hakim No.52, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.8,Restoran,"{'lat': -7.290082, 'lng': 112.797185}",2.6462354210430887,3.7634756469199147,4.063900222909642
Geprek dan Penyetan Sambel Cowek,"Jl. Gebang Lor No.50a, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.8,Restoran Masakan Ayam Restoran,"{'lat': -7.2812475, 'lng': 112.7876368}",1.3215998545418466,2.3537820461084857,2.748628709095164
Penyetan barokah dua saudara,"Jl. Kalisari Damen gang makam No.145, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",5.0,Restoran,"{'lat': -7.2713137, 'lng': 112.8028735}",2.0015849794109144,3.758336113739923,4.3787532453736056
Tempe Penyet C - Ho,"Jl. Dharmahusada No.125, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.4,Restoran Masakan Ayam Restoran Asia Restoran Seafood,"{'lat': -7.2660166, 'lng': 112.7664359}",2.0665847426432253,0.6427596691147588,1.1063990971515891
Penyetan Cak Dodik Karang Menjangan,"Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.3,Restoran Indonesia,"{'lat': -7.2697619, 'lng': 112.7609038}",2.6357892625864796,0.8875925871673822,0.6949199024272983
Mbok Sil Penyetan Sambel Tempong,"Jl. Dharmawangsa No.150, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60232, Indonesia",4.6,Restoran,"{'lat': -7.277629, 'lng': 112.755673}",3.3314977753141646,1.6098787755812154,0.884552002929097
Aneka Penyetan Cak Mat,"Jl. Manyar Sabrangan IV No.27, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.6,Rumah Makan,"{'lat': -7.287597, 'lng': 112.7636441}",3.066828962503533,1.89928460830879,1.345396309822723
"WARUNG PENYETAN "" ETAN POM ""","Jl. Raya Panjang Jiwo Permai No.1, Panjang Jiwo, Kec. Tenggilis Mejoyo, Surabaya, Jawa Timur 60299, Indonesia",4.9,Restoran,"{'lat': -7.308729, 'lng': 112.7684234}",4.700723174646057,4.162127933310115,3.7362116838206245
Sego Sambel Cak Nur - Penyetan,"PQH4+489, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",5.0,Restoran,"{'lat': -7.2722397, 'lng': 112.7559846}",3.1908865691035997,1.4174046878724773,0.8946624926967041
Penyetan 77 - Jojoran,"Jl. Jojoran I No.20, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.4,Restoran Indonesia,"{'lat': -7.2723212, 'lng': 112.7623239}",2.4962089495357125,0.7232876758885679,0.37286343576213576
Penyetan Pak Put,"PQ56+7F6, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.4,Restoran Masakan Ayam,"{'lat': -7.2918371, 'lng': 112.7611365}",3.5876898022720902,2.4350408924616365,1.833680427550419
"Penyetan "" CAH MENUR ""","belakang kost, Jl. Menur Gg. I belakang No.22, RT.004/RW.01, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.1,Restoran,"{'lat': -7.2888835, 'lng': 112.7640182}",3.131195487493671,2.025087745767547,1.489740639099666
Penyetan Sambel Teri Cak Har,"Semolowaru Utara I No.43, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.3,Restoran,"{'lat': -7.2984193, 'lng': 112.7740506}",3.4064378057810027,3.0706395213430104,2.806226857683876
Penyetan Indah,"Jl. Karang Menjangan No.81, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.6,Restoran Indonesia,"{'lat': -7.2706579, 'lng': 112.7608529}",2.6435386776847594,0.8794754307103758,0.6073091208958886
Ayam Geprek Bangsus,"Semolowaru Sel IX No.2, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.0,Restoran Masakan Ayam,"{'lat': -7.300742, 'lng': 112.7756048}",3.5976340116105727,3.3587391874637955,3.1129032586689442
Ayam Geprek Mr Suprek Koni,"Jl. Raya Kertajaya Indah No.77, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.8,Restoran Masakan Ayam,"{'lat': -7.2798947, 'lng': 112.7806455}",1.2227162960635323,1.6187739891913198,1.963933135985948
Mr Suprek - Keputih,"Jl. Keputih Tegal No.11B, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.8,Restoran Masakan Ayam Restoran Betawi,"{'lat': -7.2908623, 'lng': 112.8002797}",2.907312335553167,4.097260050555942,4.411871987171584
Sambelan Geprek Seafood Joder ka Dhani,"Jl. Gebang Lor No.38, RT.002/RW.01, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",3.8,Restoran Masakan Ayam Restoran ayam penyet Restoran Hidangan Ayam Restoran takeaway ayam goreng Restoran Seafood,"{'lat': -7.2814848, 'lng': 112.7871393}",1.335573126729277,2.3182634632025083,2.7016666238742415
Geprek Rakyat - Sukolilo,"Jl. Semampir Sel. V A No.10, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.6,Restoran Indonesia,"{'lat': -7.3072884, 'lng': 112.7862081}",4.182529664346441,4.438520401592075,4.338507258088282
Geprek Gepruk,"Jl. Keputih Tegal No.29, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.4,Restoran takeaway ayam goreng Warung nasi,"{'lat': -7.2913139, 'lng': 112.8017363}",3.043968868275182,4.260281869221385,4.5794692123182985
Geprek AG,"Jl. Mulyorejo Barat No.22, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",5.0,Restoran Masakan Ayam,"{'lat': -7.2680527, 'lng': 112.7760416}",0.9832760431455614,0.8765814445968877,1.6217410152663505
Ayam Geprek Sambat,"Mulyorejo Bar. Gg. I No.29, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.0,Restoran Masakan Ayam Rumah Makan Restoran Jawa,"{'lat': -7.2758551, 'lng': 112.7757807}",1.2075261447667325,0.9216321178059231,1.3661590943806166
Geprek ronggolawe,"Jl. Mulyorejo Utara No.105, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",5.0,Restoran Indonesia,"{'lat': -7.2643401, 'lng': 112.7803136}",0.7746575508577175,1.4871968294225553,2.2406078958201254
Ayam Geprek Dombleh,"Jl. Menur Pumpungan No.23, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.4,Restoran Masakan Ayam,"{'lat': -7.2894502, 'lng': 112.7737902}",2.5095128251299896,2.0919218492943794,1.9286165631539174
Ayam Geprek Cak Lawaz,"Jl. Klampis Ngasem No.71A, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.6,Restoran Masakan Ayam Restoran Jawa,"{'lat': -7.2861133, 'lng': 112.7746866}",2.138983650114309,1.7705165134554501,1.7153746741191256
Geprek Bang,"Jl. Kejawan Gebang No.12, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",5.0,Restoran takeaway ayam goreng,"{'lat': -7.2866075, 'lng': 112.8012364}",2.611742502185994,3.9619635034426053,4.352226046432032
Geprek ONE,"Jl. Keputih Timur Gg. Baru No.34, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.6,Restoran,"{'lat': -7.2859183, 'lng': 112.802869}",2.6878004870657812,4.094275622982453,4.504874337130899
AYAM GEPREK MBAK LIEK,"Rusunawa Wonorejo blok WF 312, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60297, Indonesia",4.4,Restoran Masakan Ayam,"{'lat': -7.3092292, 'lng': 112.7905144}",4.440411368649865,4.850128439146066,4.7968845211521725
Penyetan Watu Uleg,"Jl. Manyar Kertoarjo V No.12, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60116, Indonesia",4.6,Restoran,"{'lat': -7.2775095, 'lng': 112.7656871}",2.280002488240912,0.7711254510606742,0.33699636405441674
WARUNG PENYETAN MERDEKA,"depan araya tahap 2, Jl. Semolowaru blok j, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.8,Warung Makanan Kecil,"{'lat': -7.3015677, 'lng': 112.7834567}",3.546627593940095,3.7337330733166607,3.6463198679980056
Penyetan Cak Ganul,"PRG2+2C5, Jl. Kejawan Putih Tambak IIA, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",5.0,Restoran Indonesia,"{'lat': -7.275067, 'lng': 112.80101}",1.8849393658025224,3.5773825909278854,4.148657390441984
"Penyetan ""Sido Makmur""","Jl. Karang Menjangan No.117b, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",5.0,Rumah Makan,"{'lat': -7.2727164, 'lng': 112.7617822}",2.5609427202695696,0.789928202836787,0.3572763231419882
Penyetan Mak Tene By Mas Boy,"Jl. Nginden Semolo No.48, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",5.0,Restoran,"{'lat': -7.3000017, 'lng': 112.7671477}",3.8914886267270323,3.1966869670401383,2.7556477489433275
Penyetan mbak yun,"Gg. Masjid No.2, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.9,Restoran,"{'lat': -7.2974453, 'lng': 112.7628114}",3.9243023616475123,2.9813212928305046,2.4410728396793373
JAYA PENYETAN (BELUT & WADER),"Jl. Raya Manyar No.45, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",3.7,Restoran Masakan Belut Rumah Makan,"{'lat': -7.2941881, 'lng': 112.7625887}",3.662832130080796,2.6356410159764954,2.079950584743095
Warung Penyetan Nganjuk,"No., Kedung Pengkol Gg. III No.18, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,Restoran,"{'lat': -7.2657177, 'lng': 112.763613}",2.378545201842028,0.844177714448579,1.0879973278607282
"Penyetan Nyamleng ""Mbak Upik""","Jl. Karang Menjangan No.63-69, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.5,Rumah Makan,"{'lat': -7.2692475, 'lng': 112.7608488}",2.642327461518906,0.9062354738521808,0.7500360212142276
Penyetan & Bebek 2x2,"Jl. Karang Menjangan IV, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.8,Paket Makanan Pokok Warung nasi,"{'lat': -7.2696851, 'lng': 112.7608337}",2.6435131371270217,0.8968518487079689,0.7058340884552912
Telur puyuh dan penyetan berkah,"Gg. IV No.46A 006, RT.006/RW.03, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.0,Restoran,"{'lat': -7.2667797, 'lng': 112.7789909}",0.7183379699782251,1.2313312523790083,1.9742248325492127
Warung ikhwan Penyetan,"Jl. Keputih Tegal No.48, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,Warung nasi,"{'lat': -7.2909358, 'lng': 112.8013575}",2.985142539141837,4.2027171495652,4.524806565674082
Warung Penyetan Mama Cab.Baratajaya,"Jl. Arief Rahman Hakim No.21, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,Restoran ayam penyet,"{'lat': -7.2899069, 'lng': 112.7974094}",2.642522038407696,3.773380525100648,4.07892222206625
Penyetan Mamake KM 39x,"Jl. Karang Menjangan No.39, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.9,Rumah Makan,"{'lat': -7.2682209, 'lng': 112.76098}",2.6325224973341794,0.9280230079547388,0.8522786748940452
Ayam Geprek Mr Suprek - Dharmawangsa,"Jl. Dharmawangsa No.119, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.8,Restoran Masakan Ayam Restoran Hidangan Ayam,"{'lat': -7.2799505, 'lng': 112.7560594}",3.368769972318284,1.7029578132100798,0.9489224562106101
Ayam Geprek Gold Chick Dharmawangsa,"Jl. Dharmawangsa No.52, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",3.0,Restoran Masakan Ayam Kedai Sarapan  Makan Siang,"{'lat': -7.2708527, 'lng': 112.7562248}",3.154481012382775,1.3879473519669245,0.9451956900686884
Ayam Geprek Mbok Dhewor,"Jl. Kalibokor Selatan No.164-166, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",3.9,Restoran Masakan Ayam Rumah Makan,"{'lat': -7.2875975, 'lng': 112.7598877}",3.3927825594134213,2.061649007133713,1.39985545732173
Ayam Geprek Untag mr suprek,"Jl. Nginden Semolo No.48, RT.003/RW.02, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.8,Restoran Masakan Ayam,"{'lat': -7.3000017, 'lng': 112.7671477}",3.8914886267270323,3.1966869670401383,2.7556477489433275
Ayam geprek nglampang cabang gubeng,"Jl. Gubeng Kertajaya IX Raya No.21, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",2.9,Toko Makanan,"{'lat': -7.2756543, 'lng': 112.757241}",3.111040586104392,1.3638010884651863,0.6795530657106528
Ayam geprek mantap,"Jl. Mojo V Gg. Terong (Prajurit) No.14A, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,Warung nasi,"{'lat': -7.2686606, 'lng': 112.7637014}",2.330072572359196,0.634356666429192,0.7612339078848586
Babaqu capcin & ayam Geprek,"Blok KA, Jl. Gubeng Kertajaya No.17A blok KA 1, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60281, Indonesia",4.8,Kedai Sarapan  Makan Siang Restoran Masakan Ayam,"{'lat': -7.2740561, 'lng': 112.7556962}",3.246507344735615,1.4774890841396724,0.8647642838914045
KEBAB MONTU & GEPREK,"Gubeng Kertajaya VI C No.4, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",5.0,Toko Kebab,"{'lat': -7.2803343, 'lng': 112.7556475}",3.4260508284291755,1.7645795287895898,1.0100234409033206
Gepruk Geprek Karang Menjangan,"Jl. Karang Menjangan No.112, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.4,Restoran takeaway ayam goreng,"{'lat': -7.2742111, 'lng': 112.7622872}",2.5333345585607283,0.7879276543974152,0.1886954810186356
Penyetan geprek wong meduro,"Mulyorejo Bar. Gg. I No.17, RT.003/RW.03, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",5.0,Rumah Makan,"{'lat': -7.267367, 'lng': 112.776504}",0.9511231373082519,0.9556946400109189,1.7049858851897606
Penyetan Pecok 69,"Jl. Menur V No.24, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",3.8,Restoran Indonesia,"{'lat': -7.2924137, 'lng': 112.7635169}",3.4481356199186775,2.4189749485957637,1.8807644265750327
Sego Penyetan Kedai Chef Onel,"Jl. Wonorejo Timur No.5, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296, Indonesia",5.0,Restoran Makanan Sehat,"{'lat': -7.3083783, 'lng': 112.7967688}",4.498878049345018,5.149255806236662,5.187606607010608
Penyetan Sugio,"Jl. Karang Menjangan No.79, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.5,Restoran Pecel Lele,"{'lat': -7.270701, 'lng': 112.7608565}",2.6433392562907234,0.8787033551164276,0.6028794467653386
Penyetan Sambal Teri Mas Sugeng,"Jl. Manyar Sabrangan No.154A, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",5.0,Restoran Jawa Timur,"{'lat': -7.282558, 'lng': 112.768715}",2.2785639849085517,1.2518693209174945,0.9795970783231217
Warung Penyetan Sederhana,"Jl. Karang Menjangan I No.16, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.3,Restoran ayam penyet,"{'lat': -7.2701827, 'lng': 112.7608388}",2.643493574566976,0.8868733023967024,0.6552806107279907
Penyetan Sederhana MAS RAFFA,"PR52+CP3, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,Warung nasi,"{'lat': -7.2914962, 'lng': 112.8017951}",3.063962309713805,4.276423073665237,4.593269042951966
Penyetan mas agus,"Jl. Dharmahusada No.119B, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",5.0,Restoran Indonesia Restoran Jawa,"{'lat': -7.265763, 'lng': 112.765693}",2.1525219526215635,0.7046407992883824,1.1118552029108697
Penyetan Bu Yuli Mulyorejo,"Jl. Mulyorejo Barat II No.6, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.8,Restoran Indonesia,"{'lat': -7.2685234, 'lng': 112.7757983}",1.0014825893832833,0.8313752042806691,1.5722522105348713
Spesialis Sambel Penyetan,"Pojok Timur, Jl. Dharmahusada, Mulyorejo, Kec. Mulyorejo, Kalimantan Barat, Jawa Timur 60285, Indonesia",4.0,Restoran,"{'lat': -7.26837, 'lng': 112.775084}",1.0818444262147402,0.7658849237618872,1.5130928495574667
Penyetan Airlangga Cab. 2,"Jl. Karang Menjangan No.169, RT.003/RW.08, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",5.0,Restoran,"{'lat': -7.2747469, 'lng': 112.7625534}",2.5171683723485403,0.7884331797692186,0.12542871846573447
Ayam Geprek vs Seblak Jagor 313,"Jl. Manyar Kartika Barat No.15, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.2,Restoran Masakan Ayam Restoran seblak,"{'lat': -7.2926001, 'lng': 112.7642111}",3.411910828083936,2.4219451016549476,1.903550418450059
Ayam Geprek Moome Gubeng,"Jl. Gubeng Airlangga V No.16, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.5,Restoran Masakan Ayam,"{'lat': -7.2738863, 'lng': 112.7557493}",3.237948413986034,1.4679448632427474,0.8627384077223428
Ayam Geprek OHyes,"Jl. Pumpungan IV Jl. Menur Pumpungan No.85, RT.004/RW.02, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.8,Restoran Masakan Ayam,"{'lat': -7.2993673, 'lng': 112.763583}",4.04461665485274,3.1735487733874477,2.6540030928919385
Ayam Geprek Mak'E,"Jojoran 3 Perintis No.7, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",5.0,Restoran Masakan Ayam,"{'lat': -7.2743456, 'lng': 112.7674463}",1.9826032726347744,0.3701112038269083,0.4643994975996283
DNL GEPREK SURABAYA,"Jl. Nginden Baru I No.14, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",5.0,Restoran,"{'lat': -7.3011149, 'lng': 112.7642563}",4.16373617838316,3.352935298243569,2.849816346215122
Geprek Memories,"Jl. Dharmahusada No.125, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.8,Restoran,"{'lat': -7.2660166, 'lng': 112.7664359}",2.0665847426432253,0.6427596691147588,1.1063990971515891
Geprek Gold Chick - Nginden Semolo,"Jl. Nginden Semolo No.40, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",2.0,Restoran Indonesia,"{'lat': -7.3000602, 'lng': 112.7660082}",3.961410357106358,3.2127834157238704,2.746083264994473
Ayam Geprek JINGKRAK,"belakang SDN, Dekat Jl.Menur pumpungan.26-D RT.002/RW.001 Masuk dari, Jl. Manyar Kartika VIII, Menur Pumpungan, lama, Surabaya, Jawa Timur 60118, Indonesia",4.1,Restoran Masakan Ayam,"{'lat': -7.2887374, 'lng': 112.7660495}",2.959459764468075,1.9625433607761913,1.5006632867290934
geprek tante vokasi,"Jl. Kalidami V A No.7-A, RT.007/RW.09, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,Restoran Masakan Ayam,"{'lat': -7.2766852, 'lng': 112.7641158}",2.4100669166201776,0.7908961153333862,0.15362839060750244
Nasi Goreng Cak Nur,"PQFR+V6W, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.6,Restoran Nasi Goreng,"{'lat': -7.2752582, 'lng': 112.7905695}",0.8871061393378696,2.4411881400311,2.996912205696201
PADANGNESIAN - Nasi Goreng Pedas Padang,"Jl. Wisma Permai Tengah V CC41, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",5.0,Restoran Nasi Goreng Restoran Indonesia,"{'lat': -7.2744869, 'lng': 112.7875848}",0.6145504068440633,2.102057146213868,2.66995952060841
Nasi Goreng 99 Pak Nali,"Jl. Mulyorejo Tengah No.60, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",5.0,Restoran Nasi Goreng,"{'lat': -7.2674646, 'lng': 112.7786545}",0.721994596403222,1.1676363281001374,1.9051047867271316
Nasi Goreng Ayam Kecap Pak Di,"Jl. Menur Pumpungan No.7, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.5,Restoran Nasi Goreng Rumah Makan,"{'lat': -7.289415, 'lng': 112.7727659}",2.5627405438044164,2.06124910123707,1.860442873410288
Nasi Goreng Jagad 25,"Jl. Raya Dharma Husada Indah No.27, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60285, Indonesia",4.4,Restoran Nasi Goreng,"{'lat': -7.2709369, 'lng': 112.7740359}",1.1952316096324445,0.5789340236542192,1.2781686923778555
Soto Ayam & Nasi Goreng Jawa Cak Lim,"Jl. Keputih Tegal No.4, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.8,Restoran Soto Ayam,"{'lat': -7.2916438, 'lng': 112.8017144}",3.0715463219534462,4.277507018819447,4.591454963509379
Depot Nasi Campur Pak Salim,"Jl. Raya Mulyosari No.320, Dukuh Sutorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.5,Restoran Indonesia,"{'lat': -7.2694443, 'lng': 112.7963579}",1.2751680701604506,3.046661656089904,3.697112607003882
NASI GORENG Jawa Cak ALI,"Jl. Raya Mulyosari No.278, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.4,Restoran Nasi Goreng Kedai Sarapan,"{'lat': -7.2681934, 'lng': 112.7961491}",1.2629818548321676,3.036353150755965,3.7024898318587094
