title,address,totalScore,categories,location,Jarak_KampusC,Jarak_KampusB,Jarak_KampusA
Warung Cak Nari Munos,"Kejawan Gebang III No.15, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.7,Rumah Makan Restoran Masakan Ayam,"{'lat': -7.285944, 'lng': 112.8004529}",2.4986720737078945,3.852345032842585,4.248677292160287
Warung Mbak Sieh,"No Sukolilo, Jl. Keputih Gg. II C No.7, RT.002/RW.03, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.5,Restoran Jawa Rumah Makan,"{'lat': -7.2886338, 'lng': 112.7992839}",2.642853034018385,3.8756026241459076,4.21876937858456
Warung Penyetan Pak Kumis,"No. 50, Jalan Arif Rachman Hakim, Keputih, Sukolilo, Surabaya, East Java 60111, Indonesia",4.3,Restoran Nasi Goreng Restoran Mie,"{'lat': -7.2897462, 'lng': 112.7982573}",2.6780274277656986,3.8423639211514877,4.158251738835204
Warung Cak Di,"Jl. Semolowaru No.75, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.6,Restoran Jawa Rumah Makan Restoran,"{'lat': -7.3002097, 'lng': 112.7754965}",3.544324927857254,3.298377965677742,3.054405418111567
Warung Bu Warni Surabaya ( Nasi Petis-Specialist Cumi Hitam),"Jl. Semolowaru No.6, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.4,Warung nasi,"{'lat': -7.300215, 'lng': 112.7729171}",3.6374527918086312,3.2471155364800652,2.9418378608063125
Warung Satria,"Jl. Manyar Tegal No.82, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.5,Rumah Makan,"{'lat': -7.277858, 'lng': 112.780477}",1.024816438683261,1.4800789949111761,1.9017465988247044
Warung Mami 88,"Jl. Wonorejo Timur No.88, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296, Indonesia",4.4,Kedai Kopi Warung Makanan Kecil,"{'lat': -7.308321, 'lng': 112.8000743}",4.613095591021346,5.370720676975934,5.4480533931592605
Warung LA 2,"Jl. Keputih Timur No.36c, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,Warung nasi Kedai Sarapan  Makan Siang,"{'lat': -7.2893542, 'lng': 112.8019185}",2.8881317763357357,4.168221584418855,4.519192572665961
Bakso Daging Sapi Pak Sabar,"Jl. Raya Manyar No.44, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.6,Restoran Bakso,"{'lat': -7.2918667, 'lng': 112.7623854}",3.491078601606136,2.3938605013851535,1.8233339727073756
Bakso Bonnet,"Jl. Manyar Kertoarjo V No.41, RT.007/RW.11, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.5,Restoran Bakso,"{'lat': -7.2784272, 'lng': 112.765886}",2.30087398944267,0.8552066765147297,0.4255960195144622
