title,address,totalScore,categories,location
Penyetan Bu Yanti,"Jl. Arief Rahman Hakim No.52, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.8,['Restoran'],"{'lat': -7.290082, 'lng': 112.797185}"
Geprek dan Penyetan Sambel Cowek,"Jl. Gebang Lor No.50a, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.8,"['Restoran Masakan Ayam', 'Restoran']","{'lat': -7.2812475, 'lng': 112.7876368}"
Penyetan barokah dua saudara,"Jl. Kalisari Damen gang makam No.145, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",5.0,['Restoran'],"{'lat': -7.2713137, 'lng': 112.8028735}"
Tempe Penyet C - Ho,"Jl. Dharmahusada No.125, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.4,"['Restoran Masakan Ayam', 'Restoran Asia', 'Restoran Seafood']","{'lat': -7.2660166, 'lng': 112.7664359}"
Penyetan Cak Dodik Karang Menjangan,"Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.3,['Restoran Indonesia'],"{'lat': -7.2697619, 'lng': 112.7609038}"
Mbok Sil Penyetan Sambel Tempong,"Jl. Dharmawangsa No.150, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60232, Indonesia",4.6,['Restoran'],"{'lat': -7.277629, 'lng': 112.755673}"
Aneka Penyetan Cak Mat,"Jl. Manyar Sabrangan IV No.27, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.6,['Rumah Makan'],"{'lat': -7.287597, 'lng': 112.7636441}"
"WARUNG PENYETAN "" ETAN POM ""","Jl. Raya Panjang Jiwo Permai No.1, Panjang Jiwo, Kec. Tenggilis Mejoyo, Surabaya, Jawa Timur 60299, Indonesia",4.9,['Restoran'],"{'lat': -7.308729, 'lng': 112.7684234}"
Sego Sambel Cak Nur - Penyetan,"PQH4+489, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",5.0,['Restoran'],"{'lat': -7.2722397, 'lng': 112.7559846}"
Penyetan 77 - Jojoran,"Jl. Jojoran I No.20, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.4,['Restoran Indonesia'],"{'lat': -7.2723212, 'lng': 112.7623239}"
Penyetan Pak Put,"PQ56+7F6, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.4,['Restoran Masakan Ayam'],"{'lat': -7.2918371, 'lng': 112.7611365}"
"Penyetan "" CAH MENUR ""","belakang kost, Jl. Menur Gg. I belakang No.22, RT.004/RW.01, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.1,['Restoran'],"{'lat': -7.2888835, 'lng': 112.7640182}"
Penyetan Sambel Teri Cak Har,"Semolowaru Utara I No.43, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.3,['Restoran'],"{'lat': -7.2984193, 'lng': 112.7740506}"
Penyetan Indah,"Jl. Karang Menjangan No.81, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.6,['Restoran Indonesia'],"{'lat': -7.2706579, 'lng': 112.7608529}"
Ayam Geprek Bangsus,"Semolowaru Sel IX No.2, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.0,['Restoran Masakan Ayam'],"{'lat': -7.300742, 'lng': 112.7756048}"
Ayam Geprek Mr Suprek Koni,"Jl. Raya Kertajaya Indah No.77, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.8,['Restoran Masakan Ayam'],"{'lat': -7.2798947, 'lng': 112.7806455}"
Mr Suprek - Keputih,"Jl. Keputih Tegal No.11B, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.8,"['Restoran Masakan Ayam', 'Restoran Betawi']","{'lat': -7.2908623, 'lng': 112.8002797}"
Sambelan Geprek Seafood Joder ka Dhani,"Jl. Gebang Lor No.38, RT.002/RW.01, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",3.8,"['Restoran Masakan Ayam', 'Restoran ayam penyet', 'Restoran Hidangan Ayam', 'Restoran takeaway ayam goreng', 'Restoran Seafood']","{'lat': -7.2814848, 'lng': 112.7871393}"
Geprek Rakyat - Sukolilo,"Jl. Semampir Sel. V A No.10, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.6,['Restoran Indonesia'],"{'lat': -7.3072884, 'lng': 112.7862081}"
Geprek Gepruk,"Jl. Keputih Tegal No.29, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.4,"['Restoran takeaway ayam goreng', 'Warung nasi']","{'lat': -7.2913139, 'lng': 112.8017363}"
Geprek AG,"Jl. Mulyorejo Barat No.22, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",5.0,['Restoran Masakan Ayam'],"{'lat': -7.2680527, 'lng': 112.7760416}"
Ayam Geprek Sambat,"Mulyorejo Bar. Gg. I No.29, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.0,"['Restoran Masakan Ayam', 'Rumah Makan', 'Restoran Jawa']","{'lat': -7.2758551, 'lng': 112.7757807}"
Geprek ronggolawe,"Jl. Mulyorejo Utara No.105, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",5.0,['Restoran Indonesia'],"{'lat': -7.2643401, 'lng': 112.7803136}"
Ayam Geprek Dombleh,"Jl. Menur Pumpungan No.23, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.4,['Restoran Masakan Ayam'],"{'lat': -7.2894502, 'lng': 112.7737902}"
Ayam Geprek Cak Lawaz,"Jl. Klampis Ngasem No.71A, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.6,"['Restoran Masakan Ayam', 'Restoran Jawa']","{'lat': -7.2861133, 'lng': 112.7746866}"
Geprek Bang,"Jl. Kejawan Gebang No.12, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",5.0,['Restoran takeaway ayam goreng'],"{'lat': -7.2866075, 'lng': 112.8012364}"
Geprek ONE,"Jl. Keputih Timur Gg. Baru No.34, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.6,['Restoran'],"{'lat': -7.2859183, 'lng': 112.802869}"
AYAM GEPREK MBAK LIEK,"Rusunawa Wonorejo blok WF 312, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60297, Indonesia",4.4,['Restoran Masakan Ayam'],"{'lat': -7.3092292, 'lng': 112.7905144}"
Penyetan Watu Uleg,"Jl. Manyar Kertoarjo V No.12, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60116, Indonesia",4.6,['Restoran'],"{'lat': -7.2775095, 'lng': 112.7656871}"
WARUNG PENYETAN MERDEKA,"depan araya tahap 2, Jl. Semolowaru blok j, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.8,['Warung Makanan Kecil'],"{'lat': -7.3015677, 'lng': 112.7834567}"
Penyetan Cak Ganul,"PRG2+2C5, Jl. Kejawan Putih Tambak IIA, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",5.0,['Restoran Indonesia'],"{'lat': -7.275067, 'lng': 112.80101}"
"Penyetan ""Sido Makmur""","Jl. Karang Menjangan No.117b, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",5.0,['Rumah Makan'],"{'lat': -7.2727164, 'lng': 112.7617822}"
Penyetan Mak Tene By Mas Boy,"Jl. Nginden Semolo No.48, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",5.0,['Restoran'],"{'lat': -7.3000017, 'lng': 112.7671477}"
Penyetan mbak yun,"Gg. Masjid No.2, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.9,['Restoran'],"{'lat': -7.2974453, 'lng': 112.7628114}"
JAYA PENYETAN (BELUT & WADER),"Jl. Raya Manyar No.45, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",3.7,"['Restoran Masakan Belut', 'Rumah Makan']","{'lat': -7.2941881, 'lng': 112.7625887}"
Warung Penyetan Nganjuk,"No., Kedung Pengkol Gg. III No.18, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,['Restoran'],"{'lat': -7.2657177, 'lng': 112.763613}"
"Penyetan Nyamleng ""Mbak Upik""","Jl. Karang Menjangan No.63-69, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.5,['Rumah Makan'],"{'lat': -7.2692475, 'lng': 112.7608488}"
Penyetan & Bebek 2x2,"Jl. Karang Menjangan IV, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.8,"['Paket Makanan Pokok', 'Warung nasi']","{'lat': -7.2696851, 'lng': 112.7608337}"
Telur puyuh dan penyetan berkah,"Gg. IV No.46A 006, RT.006/RW.03, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.0,['Restoran'],"{'lat': -7.2667797, 'lng': 112.7789909}"
Warung ikhwan Penyetan,"Jl. Keputih Tegal No.48, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,['Warung nasi'],"{'lat': -7.2909358, 'lng': 112.8013575}"
Warung Penyetan Mama Cab.Baratajaya,"Jl. Arief Rahman Hakim No.21, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,['Restoran ayam penyet'],"{'lat': -7.2899069, 'lng': 112.7974094}"
Penyetan Mamake KM 39x,"Jl. Karang Menjangan No.39, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.9,['Rumah Makan'],"{'lat': -7.2682209, 'lng': 112.76098}"
Ayam Geprek Mr Suprek - Dharmawangsa,"Jl. Dharmawangsa No.119, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.8,"['Restoran Masakan Ayam', 'Restoran Hidangan Ayam']","{'lat': -7.2799505, 'lng': 112.7560594}"
Ayam Geprek Gold Chick Dharmawangsa,"Jl. Dharmawangsa No.52, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",3.0,"['Restoran Masakan Ayam', 'Kedai Sarapan & Makan Siang']","{'lat': -7.2708527, 'lng': 112.7562248}"
Ayam Geprek Mbok Dhewor,"Jl. Kalibokor Selatan No.164-166, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",3.9,"['Restoran Masakan Ayam', 'Rumah Makan']","{'lat': -7.2875975, 'lng': 112.7598877}"
Ayam Geprek Untag mr suprek,"Jl. Nginden Semolo No.48, RT.003/RW.02, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.8,['Restoran Masakan Ayam'],"{'lat': -7.3000017, 'lng': 112.7671477}"
Ayam geprek nglampang cabang gubeng,"Jl. Gubeng Kertajaya IX Raya No.21, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",2.9,['Toko Makanan'],"{'lat': -7.2756543, 'lng': 112.757241}"
Ayam geprek mantap,"Jl. Mojo V Gg. Terong (Prajurit) No.14A, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,['Warung nasi'],"{'lat': -7.2686606, 'lng': 112.7637014}"
Babaqu capcin & ayam Geprek,"Blok KA, Jl. Gubeng Kertajaya No.17A blok KA 1, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60281, Indonesia",4.8,"['Kedai Sarapan & Makan Siang', 'Restoran Masakan Ayam']","{'lat': -7.2740561, 'lng': 112.7556962}"
KEBAB MONTU & GEPREK,"Gubeng Kertajaya VI C No.4, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",5.0,['Toko Kebab'],"{'lat': -7.2803343, 'lng': 112.7556475}"
Gepruk Geprek Karang Menjangan,"Jl. Karang Menjangan No.112, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.4,['Restoran takeaway ayam goreng'],"{'lat': -7.2742111, 'lng': 112.7622872}"
Penyetan geprek wong meduro,"Mulyorejo Bar. Gg. I No.17, RT.003/RW.03, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",5.0,['Rumah Makan'],"{'lat': -7.267367, 'lng': 112.776504}"
Penyetan Pecok 69,"Jl. Menur V No.24, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",3.8,['Restoran Indonesia'],"{'lat': -7.2924137, 'lng': 112.7635169}"
Sego Penyetan Kedai Chef Onel,"Jl. Wonorejo Timur No.5, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296, Indonesia",5.0,['Restoran Makanan Sehat'],"{'lat': -7.3083783, 'lng': 112.7967688}"
Penyetan Sugio,"Jl. Karang Menjangan No.79, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.5,['Restoran Pecel Lele'],"{'lat': -7.270701, 'lng': 112.7608565}"
Penyetan Sambal Teri Mas Sugeng,"Jl. Manyar Sabrangan No.154A, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",5.0,['Restoran Jawa Timur'],"{'lat': -7.282558, 'lng': 112.768715}"
Warung Penyetan Sederhana,"Jl. Karang Menjangan I No.16, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.3,['Restoran ayam penyet'],"{'lat': -7.2701827, 'lng': 112.7608388}"
Penyetan Sederhana MAS RAFFA,"PR52+CP3, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,['Warung nasi'],"{'lat': -7.2914962, 'lng': 112.8017951}"
Penyetan mas agus,"Jl. Dharmahusada No.119B, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",5.0,"['Restoran Indonesia', 'Restoran Jawa']","{'lat': -7.265763, 'lng': 112.765693}"
Penyetan Bu Yuli Mulyorejo,"Jl. Mulyorejo Barat II No.6, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.8,['Restoran Indonesia'],"{'lat': -7.2685234, 'lng': 112.7757983}"
Spesialis Sambel Penyetan,"Pojok Timur, Jl. Dharmahusada, Mulyorejo, Kec. Mulyorejo, Kalimantan Barat, Jawa Timur 60285, Indonesia",4.0,['Restoran'],"{'lat': -7.26837, 'lng': 112.775084}"
Penyetan Airlangga Cab. 2,"Jl. Karang Menjangan No.169, RT.003/RW.08, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",5.0,['Restoran'],"{'lat': -7.2747469, 'lng': 112.7625534}"
Ayam Geprek vs Seblak Jagor 313,"Jl. Manyar Kartika Barat No.15, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.2,"['Restoran Masakan Ayam', 'Restoran seblak']","{'lat': -7.2926001, 'lng': 112.7642111}"
Ayam Geprek Moome Gubeng,"Jl. Gubeng Airlangga V No.16, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.5,['Restoran Masakan Ayam'],"{'lat': -7.2738863, 'lng': 112.7557493}"
Ayam Geprek OHyes,"Jl. Pumpungan IV Jl. Menur Pumpungan No.85, RT.004/RW.02, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.8,['Restoran Masakan Ayam'],"{'lat': -7.2993673, 'lng': 112.763583}"
Ayam Geprek Mak'E,"Jojoran 3 Perintis No.7, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",5.0,['Restoran Masakan Ayam'],"{'lat': -7.2743456, 'lng': 112.7674463}"
DNL GEPREK SURABAYA,"Jl. Nginden Baru I No.14, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",5.0,['Restoran'],"{'lat': -7.3011149, 'lng': 112.7642563}"
Geprek Memories,"Jl. Dharmahusada No.125, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.8,['Restoran'],"{'lat': -7.2660166, 'lng': 112.7664359}"
Geprek Gold Chick - Nginden Semolo,"Jl. Nginden Semolo No.40, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",2.0,['Restoran Indonesia'],"{'lat': -7.3000602, 'lng': 112.7660082}"
Ayam Geprek JINGKRAK,"belakang SDN, Dekat Jl.Menur pumpungan.26-D RT.002/RW.001 Masuk dari, Jl. Manyar Kartika VIII, Menur Pumpungan, lama, Surabaya, Jawa Timur 60118, Indonesia",4.1,['Restoran Masakan Ayam'],"{'lat': -7.2887374, 'lng': 112.7660495}"
geprek tante vokasi,"Jl. Kalidami V A No.7-A, RT.007/RW.09, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,['Restoran Masakan Ayam'],"{'lat': -7.2766852, 'lng': 112.7641158}"
Nasi Goreng Cak Nur,"PQFR+V6W, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.6,['Restoran Nasi Goreng'],"{'lat': -7.2752582, 'lng': 112.7905695}"
PADANGNESIAN - Nasi Goreng Pedas Padang,"Jl. Wisma Permai Tengah V CC41, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",5.0,"['Restoran Nasi Goreng', 'Restoran Indonesia']","{'lat': -7.2744869, 'lng': 112.7875848}"
Nasi Goreng 99 Pak Nali,"Jl. Mulyorejo Tengah No.60, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",5.0,['Restoran Nasi Goreng'],"{'lat': -7.2674646, 'lng': 112.7786545}"
Nasi Goreng Ayam Kecap Pak Di,"Jl. Menur Pumpungan No.7, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.5,"['Restoran Nasi Goreng', 'Rumah Makan']","{'lat': -7.289415, 'lng': 112.7727659}"
Nasi Goreng Jagad 25,"Jl. Raya Dharma Husada Indah No.27, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60285, Indonesia",4.4,['Restoran Nasi Goreng'],"{'lat': -7.2709369, 'lng': 112.7740359}"
Soto Ayam & Nasi Goreng Jawa Cak Lim,"Jl. Keputih Tegal No.4, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.8,['Restoran Soto Ayam'],"{'lat': -7.2916438, 'lng': 112.8017144}"
Depot Nasi Campur Pak Salim,"Jl. Raya Mulyosari No.320, Dukuh Sutorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.5,['Restoran Indonesia'],"{'lat': -7.2694443, 'lng': 112.7963579}"
NASI GORENG Jawa Cak ALI,"Jl. Raya Mulyosari No.278, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.4,"['Restoran Nasi Goreng', 'Kedai Sarapan']","{'lat': -7.2681934, 'lng': 112.7961491}"
Nasi Goreng Jawa (Cak Sul),"Jl. Arief Rahman Hakim No.51-14, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.8,['Kedai Sarapan'],"{'lat': -7.2894073, 'lng': 112.7821164}"
Nasi Goreng Surabaya,"Jl. Wonorejo Timur No.45, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296, Indonesia",4.6,"['Restoran Nasi Goreng', 'Rumah Makan']","{'lat': -7.3083123, 'lng': 112.7998224}"
Nasi Goreng & Mie Pelangi Cak Tro,"PQJC+MGP, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.6,"['Restoran Nasi Goreng', 'Rumah Makan', 'Restoran Mie']","{'lat': -7.268284, 'lng': 112.7713307}"
Nasi Goreng Pak Tohir,"Jl. Manyar Kerta Adi IV No.33, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60117, Indonesia",4.5,['Restoran Nasi Goreng'],"{'lat': -7.282886, 'lng': 112.7841113}"
GEPREK AIRLANGGA,"Jl. Semolowaru No.67, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",3.1,['Restoran Masakan Ayam'],"{'lat': -7.3000263, 'lng': 112.7752314}"
Geprek mbok imee,"Jl. Semolo Waru Elok Timur II No.27 Blok H, RT.007/RW.06, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",5.0,['Restoran'],"{'lat': -7.3033769, 'lng': 112.7747739}"
Ayam Geprek Sedulur 4,"Jl. Kedung Pengkol I No.78, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",5.0,['Restoran'],"{'lat': -7.2654241, 'lng': 112.7660923}"
AYAM GEPREK JURAGAN KERTA ADI,"Jl. Manyar Kerta Adi VII No.39, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.6,"['Restoran Masakan Ayam', 'Rumah Makan']","{'lat': -7.284156, 'lng': 112.783889}"
Ayam geprek and jus Sukesi,"Gg. 17 No.3, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",5.0,"['Restoran', 'Restoran Masakan Ayam', 'Kedai Jus']","{'lat': -7.283087, 'lng': 112.8026199}"
SWAG Warung Ayam Geprek,"Raya Jl. Raya Manyar No.72, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.8,['Restoran Cepat Saji'],"{'lat': -7.2932013, 'lng': 112.7621614}"
AYAM GEPREK D'BAKAR,"depan tito foto, Jl. Arief Rahman Hakim gang kecil No.53a, RT.002/RW.02, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",1.8,['Restoran Masakan Ayam'],"{'lat': -7.289735, 'lng': 112.7989988}"
Geprek Josspolll Gebang Putih,"PQ7P+J2R, Jl. Gebang Putih, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",5.0,['Restoran Masakan Ayam'],"{'lat': -7.2859236, 'lng': 112.7851122}"
AYAM GEPREK MAMA,"Jl. Keputih Timur No 54 C. (Masuk Gapura Depan Toko Buku Mitra Media, 100m DEPAN GAPURA, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.2,['Restoran Masakan Ayam'],"{'lat': -7.288477, 'lng': 112.802063}"
Universitas Ayam Geprek,"Jl. Raya Manyar No.4, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",5.0,['Restoran Masakan Ayam'],"{'lat': -7.2897916, 'lng': 112.7627107}"
Ayam Geprek 4G,"Jl. Barata Jaya No.40, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",5.0,"['Restoran Masakan Ayam', 'Rumah Makan', 'Restoran Jawa']","{'lat': -7.299097, 'lng': 112.7582744}"
Geprek B3NSU,"PQC6+3WF, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60282, Indonesia",2.8,['Restoran Masakan Ayam'],"{'lat': -7.2798223, 'lng': 112.7623011}"
Ayam Geprek Bee & Lee Surabaya,"Jl. Pucang Anom Timur III No.5, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",5.0,['Restoran'],"{'lat': -7.2854286, 'lng': 112.7564554}"
Penyetan geprek Nyinyir dan Bakoel susu,"Jl. Nginden Jaya I No.17, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",5.0,['Restoran'],"{'lat': -7.3023437, 'lng': 112.7691147}"
Nasi Goreng Cak Ji,"Jl. Dharmahusada no No.4, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.8,"['Restoran Nasi Goreng', 'Rumah Makan']","{'lat': -7.2660003, 'lng': 112.7623884}"
Nasi Goreng UGD+,"Jl. Gubeng Kertajaya VII C No.18, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.8,['Restoran Nasi Goreng'],"{'lat': -7.2764308, 'lng': 112.7556184}"
Nasi babat emak,"Jl. Kalidami No.1d, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.8,"['Warung nasi', 'Restoran']","{'lat': -7.2748031, 'lng': 112.7626074}"
Nasi Goreng Pak No,"Jl. Raya Manyar No.1a, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60284, Indonesia",4.8,['Restoran Nasi Goreng'],"{'lat': -7.2881459, 'lng': 112.7634117}"
Nasi Bakar Kamput,"Jl. Raya Nginden No.111, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60284, Indonesia",4.9,['Restoran Indonesia'],"{'lat': -7.3042341, 'lng': 112.7623536}"
Nasi Pecel Cak Iwan,"Jl. Raya Menur No.2C, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60268, Indonesia",5.0,['Restoran Makanan Sehat'],"{'lat': -7.2750425, 'lng': 112.7622081}"
Nasi Goreng Pak Ali,"Jl. Menur Pumpungan No.20, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.5,['Restoran Nasi Goreng'],"{'lat': -7.2882626, 'lng': 112.7653475}"
Nasi Goreng Rempah Ngocol,"PQ3H+HR3, Jl. Klampis Semolo, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur, Indonesia",4.5,['Restoran Nasi Goreng'],"{'lat': -7.2961075, 'lng': 112.7795385}"
Nasi Goreng SEMPAL,"Jl. Karang Menjangan No.77, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.4,"['Restoran Nasi Goreng', 'Rumah Makan']","{'lat': -7.2706007, 'lng': 112.7609148}"
Nasi Goreng Dok Dok,"Jl. Gubeng Kertajaya VII I No.14, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.5,['Restoran Nasi Goreng'],"{'lat': -7.2741318, 'lng': 112.7557339}"
Ayam Geprek JN Jaman Now,"Jl. Gebang Wetan No.9, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",2.8,['Restoran Masakan Ayam'],"{'lat': -7.2808116, 'lng': 112.7881425}"
"KAG - Kakkk Ayam Geprek!!!, Dharmawangsa","Jl. Dharmawangsa No.119 A, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",3.7,"['Restoran Masakan Ayam', 'Restoran']","{'lat': -7.2800419, 'lng': 112.755964}"
Warung Geprek CK,"Jl. Keputih Gg. II Ps. No.22, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,['Restoran'],"{'lat': -7.2893443, 'lng': 112.7995667}"
Ayam Geprek Mang Soetta keputih,"Jl. Arief Rahman Hakim No.90, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,['Restoran Masakan Ayam'],"{'lat': -7.29012, 'lng': 112.7988537}"
Nasi Goreng Jawa CAK TO,"Jl. Dharmawangsa No.69 A, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.7,['Restoran Indonesia'],"{'lat': -7.2763473, 'lng': 112.7561003}"
