title,address,totalScore,categories,location
Warung Bu Warni Surabaya ( Nasi Petis-Specialist Cumi Hitam),"Jl. Semolowaru No.6, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.4,['Warung nasi'],"{'lat': -7.300215, 'lng': 112.7729171}"
Warung Satria,"Jl. Manyar Tegal No.82, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.5,['Rumah Makan'],"{'lat': -7.277858, 'lng': 112.780477}"
Warung Mami 88,"Jl. Wonorejo Timur No.88, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296, Indonesia",4.4,"['Kedai Kopi', 'Warung Makanan Kecil']","{'lat': -7.308321, 'lng': 112.8000743}"
Warung LA 2,"Jl. Keputih Timur No.36c, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",5.0,"['Warung nasi', 'Kedai Sarapan & Makan Siang']","{'lat': -7.2893542, 'lng': 112.8019185}"
Bakso Daging Sapi Pak Sabar,"Jl. Raya Manyar No.44, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.6,['Restoran Bakso'],"{'lat': -7.2918667, 'lng': 112.7623854}"
Bakso Bonnet,"Jl. Manyar Kertoarjo V No.41, RT.007/RW.11, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.5,['Restoran Bakso'],"{'lat': -7.2784272, 'lng': 112.765886}"
Bakso Pak Djo,"Jl. Manyar Tirtoasri XII No.2, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.5,"['Restoran Bakso', 'Kedai Sarapan']","{'lat': -7.2878148, 'lng': 112.7682769}"
Bakso Daging Sapi P.Sabar,"Jl. Karang Menjangan No.56, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.6,"['Restoran Bakso', 'Rumah Makan']","{'lat': -7.27131, 'lng': 112.760384}"
Bakso Pak War,"PQ99+HRC, Jl. Manyar Kertoarjo III, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60116, Indonesia",4.4,['Restoran Bakso'],"{'lat': -7.2810587, 'lng': 112.769508}"
Bakso Pak Pek,"X., Kertajaya VIII Raya Blok A No.3, Kertajaya, Gubeng, Surabaya, East Java 60282, Indonesia",4.5,['Restoran Bakso'],"{'lat': -7.279377, 'lng': 112.7591654}"
Mie Ayam & Bakso Solo,"Jl. Gubeng Kertajaya VII H No.22, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.6,"['Restoran Bakso', 'Restoran Mie']","{'lat': -7.2741253, 'lng': 112.7560296}"
Warung Tegal Gebang,"Jl. Gebang Lor No.01, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.3,['Warung tegal'],"{'lat': -7.280286, 'lng': 112.78965}"
Warung Fadhila,"PQ6X+6RJ, Jl. Keputih Gg. II Ps., Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.6,['Restoran Jawa'],"{'lat': -7.2894214, 'lng': 112.7995009}"
Warung Pak Hasyim,"Jl. Barata Jaya XVII No.130, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.6,['Restoran'],"{'lat': -7.3051567, 'lng': 112.7607574}"
Warung Mak Ni,"Jl. Kejawan Putih Tambak No.32, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.5,['Rumah Makan'],"{'lat': -7.2754656, 'lng': 112.8009298}"
Warung Makan Tegal Aero,"Jl. Jojoran I No.2a, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.4,['Warung tegal'],"{'lat': -7.272211, 'lng': 112.761565}"
Warung Mama Titik,"Jl. Jojoran I No.32, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,['Restoran Prasmanan'],"{'lat': -7.2723098, 'lng': 112.7629252}"
Warung KANE,"Jl. KH. Ahmad Dahlan Keputih Perintis IV No.16A, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.8,['Restoran'],"{'lat': -7.2886082, 'lng': 112.8014116}"
Warung Solo,"Jl. Kejawan Putih Tambak No.39, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.8,['Warung nasi'],"{'lat': -7.2757855, 'lng': 112.8013427}"
Warung Ijo Menur Pumpungan,"PQ36+2X4, Gg. Masjid, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.5,['Restoran Jawa'],"{'lat': -7.2974783, 'lng': 112.7624462}"
Warung Nasi Gudeg Bu Arif Prasmanan,"Jl. Raya Menur No.31, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60286, Indonesia",4.5,"['Restoran Jawa', 'Restoran Prasmanan', 'Warung nasi']","{'lat': -7.2779499, 'lng': 112.7624716}"
Warung Seafood Pucang,"Jl. Pucang Anom Tim. No.25c, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",4.5,"['Restoran Seafood', 'Rumah Makan']","{'lat': -7.2853253, 'lng': 112.7560127}"
Warung Gresik Mbak Vien,"Jl. Semolowaru No.14, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.6,['Restoran Indonesia'],"{'lat': -7.300347, 'lng': 112.7734308}"
Warung Rawon 48,"Jl. Manyar Sambongan No.48, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.7,['Restoran Jawa Timur'],"{'lat': -7.281273, 'lng': 112.7582204}"
Warung Sederhana Gebang Wetan,"Jl. Gebang Wetan No.1, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.8,['Restoran'],"{'lat': -7.2806695, 'lng': 112.7887335}"
Warung Leko Manyar,"Jl. Manyar Kertoarjo V No.9, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.6,"['Restoran Indonesia', 'Restoran Jawa Timur', 'Kedai Sup']","{'lat': -7.2775083, 'lng': 112.7659981}"
Warung Lestari,"Jl. Karang Menjangan No.37, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.6,['Restoran Jawa'],"{'lat': -7.2680007, 'lng': 112.7609453}"
Warung Kuning - Kalibokor,"Jl. Kalibokor Selatan, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.5,"['Restoran Jawa', 'Kedai Sarapan', 'Restoran Indonesia']","{'lat': -7.2877322, 'lng': 112.7624485}"
Warung Bu Siswo,"Jl. Pucang Jajar Tengah No.65, RT.003/RW.01, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.6,"['Restoran Jawa', 'Rumah Makan']","{'lat': -7.2835485, 'lng': 112.7609468}"
Warung nasi jakarta,"Jl. Keputih Tegal Timur Baru I No.31ab, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.4,['Warung nasi'],"{'lat': -7.2942855, 'lng': 112.8086209}"
Warung Nanda,"No Semolowaru Utara I No.149, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.6,"['Restoran Jawa', 'Rumah Makan']","{'lat': -7.2980669, 'lng': 112.7794796}"
Warung Bu Kris,"Jl. Manyar Kertoarjo IV No.23, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.5,['Restoran Indonesia'],"{'lat': -7.2777432, 'lng': 112.7653907}"
